Title,Matthew,Mark,Luke,John
The Preaching of John,"3:7-10
3:11-12",1:7-8,"3:7-9
3:15-18",
Temptations,4:1-11,,4:1-13,
Beatitudes,5:3-12,,6:20-23,
Love of Enemies,"5:38-48
7:12",,6:27-36,
Judging,"7:1-5
12:36-37
15:14
10:24-25",4:24-25,6:37-42,
Fruits,"7:15-20
12:33-35",,6:43-45,
House on Rock,7:21-27,,6:46-49,
Centurion of Capernaum,8:5-13,,"7:1-10
13:28-29",
John's Question and Jesus' Answer,11:2-6,,7:18-23,
Jesus' Witness to John,"11:7-19
21:31-32",,"7:24-35
16:16",
Commissioning the Twelve,"10:1
10:7-11
10:14",6:6-13,9:1-6,
On Following Jesus,8:18-22,,9:57-62,
Commissioning of 70,"9:37-38
10:7-16",,10:1-12,
Woes on Galilee,11:20-24,,"10:13-15
10:12",
"Whoever Hears You, Hears Me",10:40,,10:16,
Thanksgiving and Blessedness of Disciples,"11:25-27
13:16-17",,10:21-24,
Lord's Prayer,6:9-13,,11:1-4,
Encouragement to Pray,7:7-11,,11:9-13,
Beelzebul Controversy,"12:22-30
9:32-34",3:22-27,11:14-23,
Return of the Evil Spirit,12:43-45,,11:24-26,
Sign of Jonah,"12:38-42
16:1-4",8:11-12,"11:16
11:29-32",
Sound Eye,6:22-23,,11:34-36,
Against the Pharisees,23:4-36,7:1-9,11:37-54,
Fearless Confession,10:26-33,,12:2-9,
Sin against the Holy Spirit,12:31-32,3:29-30,12:10,
Assistance of the Holy Spirit,10:19-20,13:11,"12:11-12
21:14-15",
Anxiety,6:25-34,,12:22-32,
Treasures in Heaven,6:19-21,,12:33-34,
Watchfulness and Faithfulness,24:42-51,,12:35-48,
Divisions in Households,10:34-36,,12:49-53,
Signs of the Times,16:2-3,,12:54-56,
Agreement with Accuser,5:25-26,,12:57-59,
Mustard Seed,13:31-32,4:30-32,13:18-19,
Leaven,13:33,,13:20-21,
Exclusion from the Kingdom,"7:13-14
7:22-23
8:11-12
19:30",,13:22-30,
Lament over Jerusalem,23:37-39,,13:34-35,
Great Supper,22:1-14,,14:15-24,
Conditions of Discipleship,10:37-38,,14:25-33,
Parable of Salt,05:13,9:49-50,14:34-35,
Lost Sheep,18:12-14,,15:1-7,
Two Masters,06:24,,16:13,
Concerning the Law,"11:12-13
5:18",,16:16-17,
Warning against Offenses,18:6-7,09:42,17:1-3,
On Forgiveness,"18:15
18:21-22",,17:3-4,
On Faith,17:19-20,9:28-29,17:5-6,
Day of the Son of Man,"24:23
24:26-27
24:37-39
24:17-18
10:39
24:40-41
24:28","13:19-23
13:14-16",17:22-37,
Parable of Pounds,25:14-30,,19:11-27,
Precedence,19:28,10:41-45,22:28-30,
