Title;Luke;Matthew
John's preaching;3:7-9;3:7-10
The Coming One;3:16-17;3:11-12
Jesus Tested;4:1-13;"4:1-4
4:9-12
4:5-7
4:13"
Inaugural sermon;6:12, 17, 20;5:1-2
Congratulations;6:20-26;"5:3
5:6
5:4
5:11-12"
Love of enemies;6:27-36;"5:44
5:39-42
7:12
5:46-47
5:45
5:48"
On judging;6:37-38;7:1-2
Blind guides;6:39-40;"15:14
10:24-25"
On pretense;6:41-42;7:3-5
Tree & fruit;6:43-45;"7:16-20
12:33-35"
Foundations;6:46-49;7:21, 24-27
Centurion's slave;7:1-10;"7:28
8:5-10
8:13"
John's inquiry;7:18-20, 22-23;11:2-6
Jesus praises John;7:24-28;11:7-11
Law & prophets;16:16;11:12-13
Children in the marketplace;7:31-35;11:16-19
Foxes have dens;9:57-62;8:19-22
The Mission Speech;10:2-12;"9:37-38
10:7-16"
Damn you Chorazin;10:13-15;11:21-24
Rejecting the sender;10:16;10:40
Father & son;10:21-22;11:25-27
Privileged eyes;10:23-24;13:16-17
Lord's prayer;11:2-4;6:9-13
Ask, seek, knock;11:9-13;7:7-11
Beelzebul controversy;11:14-23;12:22-30
Return of an unclean spirit;11:24-26;12:43-45
Congratulations to the womb;11:27-28;
Request for a sign;11:16, 29-32;12:38-42
Lamp & bushel;11:33;5:15
Eye & light;11:34-36;6:22-23
Prophet's tombs;11:47-48;23:29-32
Wisdom's oracle;11:49-51;23:34-36
Blocking the way;11:52;23:13
Veiled & unveiled;12:2-3;10:26-27
God & sparrows;12:4-7;10:28-31
Before the father;12:8-9;10:32-33
Blasphemies;12:10;12:32
Spirit under trial;12:11-12;10:19
Disputed inheritance;12:13-14;
Rich farmer;12:16-21;
On anxieties;12:22-31;6:25-33
On possessions;12:33-34;6:19-21
Homeowner & burglar;12:39-40;24:43-44
Unexpected return;12:42-46;24:45-51
Peace or conflict;"12:49
12:51-53";10:34-36
Knowing the times;12:54-56;16:2-3
Before the judge;12:57-59;5:25-26
Mustard seed & leaven;13:18-21;13:31-33
Two gates;13:24-27;"7:13-14
7:22-23"
Dining with patriarchs;13:28-30;"8:11-12
20:16"
Jerusalem indicted;13:34-35;23:37-39
Promotion & demotion;"14:11
18:14";23:12
The feast;14:16-24;22:1-10
Hating one's family;"14:26-27
17:33";10:37-39
Saltless salt;14:34-35;5:13
Lost sheep & coin;15:4-10;18:12-13
Two masters;16:13;6:24
God's rule & violence;16:16;11:12-13
Not one serif;16:17;5:18
On divorce;16:18;5:32
Millstone award;17:1-2;18:6-7
Scold & forgive;17:3-4;"18:15
18:21-22"
Mountains into the sea;17:6;17:20
Coming of son of Adam;"17:22-24
17:26-30
17:34-35
17:37";"24:26-28
24:37
24:39-41"
Entrusted money;19:12-26;25:14-30
On twelve thrones;22:28-30;19:28
